platform,platform_group
Android,Android
Arcade,Other
Atari 2600,Atari
Atari 5200,Atari
Commodore 64/128,Other
Dreamcast,Sega
Dreamcast VMU,Sega
DVD / HD Video Game,Other
Game Boy,Game Boy
Game Boy Advance,Game Boy
Game Boy Color,Game Boy
Game.Com,Other
GameCube,Nintendo
Genesis,Sega
iPad,Apple
iPhone,Apple
iPod,Apple
Linux,Linux
Lynx,Atari
Macintosh,Apple
Master System,Sega
NeoGeo,NeoGeo
NeoGeo Pocket Color,NeoGeo
NES,Nintendo
New Nintendo 3DS,Nintendo
N-Gage,Other
Nintendo 3DS,Nintendo
Nintendo 64,Nintendo
Nintendo 64DD,Nintendo
Nintendo DS,Nintendo
Nintendo DSi,Nintendo
Ouya,Android
PC,Windows
PlayStation,PlayStation
PlayStation 2,PlayStation
PlayStation 3,PlayStation
PlayStation 4,PlayStation
PlayStation Portable,PlayStation
PlayStation Vita,PlayStation
Pocket PC,Windows
Saturn,Sega
Sega 32X,Sega
Sega CD,Sega
SteamOS,Linux
Super NES,Nintendo
TurboGrafx-16,TurboGrafx
TurboGrafx-CD,TurboGrafx
Vectrex,Other
Web Games,Other
Wii,Nintendo
Wii U,Nintendo
Windows Phone,Windows
Windows Surface,Windows
Wireless,Other
WonderSwan,WonderSwan
WonderSwan Color,WonderSwan
Xbox,Xbox
Xbox 360,Xbox
Xbox One,Xbox
